cytoband	10q26.3	9p21.3	1p36.23	11p15.5	3q29	6q26	8q24.3	10q23.31	17q11.2	4q35.2	13q14.3	13q14.2	4q34.3	6p25.3	13q34	19q13.32	19q13.43	2q37.1	2q37.3	1q42.12	9p24.2	10p11.23	14q31.1	21q21.1	1p32.3	1q44	5q15	2q36.3	7p22.3	
							FAM160B2									ZNF524	KLK11						MIR381				SCARNA18	CIAO1	WIPI2	
							DEPTOR									ZNF784	TMED1						MIR382				SNORA47	TGFBRAP1	TES	
							PYCRL									CCDC155	LILRA1						MIR433				MIR449B	HS6ST1	GIMAP2	
							C8orf33									DACT3	LILRB3						MIR431				MIR581	CRIPT	INTS1	
							ZBTB10									SIX5	LILRA2						MIR329-1				MIR582	ECEL1	OR2F1	
							LYNX1									IGFL2	UPK1A						MIR329-2				MIR583	MAP4K4	FBXO24	
							MTMR9									NLRP4	HNRNPUL1						MIR323B				SNHG4	EIF2AK3	SLC13A4	
							DUSP26									ZNF542P	CLASRP						MIR409				GTF2H2C	EIF4E2	TBL2	
							RHPN1-AS1									ZNF582	KPTN						MIR412				LINC00992	ROCK2	RNU6-1	
							DSCC1									ZNF583	SLC7A9						MIR410				SERF1B	CHST10	STEAP1	
							DERL1									CDC42EP5	CDC37						MIR376B				CCDC192	TP53I3	COPG2	
							CHCHD7									ZNF836	MAP4K1						MIR485				MEIKIN	CIR1	HBP1	
							SLC52A2									ZNF610	KLK8						MIR493				ZBED3-AS1	MRPL33	DNAJC2	
							HMBOX1									ZNF600	CYP4F8						MIR432				SCAMP1-AS1	BRE	TPK1	
							EFCAB1									ZNF320	PNKP						MIR494				ANKDD1B	PREPL	SND1	
							PPP1R3B									ZNF550	COPE						MIR495				GTF2H2C_2	CYTIP	VPS41	
							PLEKHF2									ZNF296	U2AF2						MIR496				LOC731157	FEZ2	TSPAN13	
							ZMAT4									ZNF579	ATF5						MIR487A				GUSBP9	GCC2	SND1-IT1	
							ZFAND1									ZNF114	ZFP30						ACOT1				VTRNA2-1	TTLL4	EIF2AK1	
							ZFHX4									ZNF525	ZNF507						ACOT6				MIR874	SOCS5	DENND2A	
							GSDMD									SPACA4	ADGRL1						FUT8-AS1				KIAA1024L	EIF5B	ZNF777	
							NIPAL2									NLRP7	PPP6R1						RPL13AP3				ARRDC3-AS1	GREB1	BBS9	
							RNF122									ADM5	CARD8						LINC00520				LOC100130172	BZW1	CRCP	
							CSPP1									ZSCAN4	SIRT2						LINC00643				LRRC70	USP34	RABGEF1	
							BAALC									NLRP11	CYP2G1P						LOC646548				CKMT2-AS1	LAPTM4A	POLM	
							NUDT18									TMEM86B	MAST1						SYNDIG1L				FAM159B	HDAC4	PCLO	
							ZNF696									INAFM1	UNC13A						RD3L				LOC100133050	RNF144A	TMEM176B	
							GRHL2									ZNF549	MAST3						TEX22				LOC100287592	SNX17	BZW2	
							DOCK5									NAPSB	SIPA1L3						MIR539				LOC100289230	SERTAD2	DBNL	
							BIN3-IT1									IL4I1	FCHO1						MIR544A				LOC100289673	MRPL19	HIPK2	
							VCPIP1									SSC5D	CIC						MIR376A2				MIR1289-2	ZEB2	WDR91	
							ZNF703									ZNF547	ZC3H4						MIR487B				MIR548F3	FARP2	REPIN1	
							TTI2									ZIK1	SIN3B						SCARNA13				MIR1244-1	TLK1	NPC1L1	
							RAB11FIP1									ZNF776	HAUS5						SNORA28				MIR548P	SUPT7L	SNX8	
							PREX2									ZSCAN1	CRTC1						SNORA79				TMED7-TICAM2	CD302	SNX10	
							REEP4									PPP1R37	MAU2						SNORD112				NCRUPAR	ARHGAP25	TRA2A	
							ARHGAP39									NKPD1	FBXO46						MIR411				LOC100303749	TANK	HILPDA	
							ZNF34									TPRX1	ETHE1						MIR625				MIR2277	BCL2L11	MRM2	
							SLC25A32									MAMSTR	BRD4						MIR654				MIR449C	FARSB	MDFIC	
							DCSTAMP									IZUMO1	RPL13A						MIR655				MIR1244-3	ABCB6	PILRB	
							STMN4									EMC10	SYNGR4						MIR656				MIR1244-2	ACTR3	PILRA	
							RNF170									MGC45922	LILRA4						CCDC175				MIR4280	ACTR2	FSCN3	
							SLCO5A1									KLK9	PRG1						LOC730202				MTRNR2L2	ARPC2	NXPH1	
							SHARPIN									SIGLEC17P	CASP14						LINC01220				MIR3607	PREB	ERVW-1	
							EPPK1									SIGLECL1	ZIM2						SNORD113-1				MIR3660	ACTR1B	ATP6V0A4	
							SCRT1									ZNF615	CBLC						SNORD113-2				MIR3936	ARL4C	PNPLA8	
							SOX7									ZNF841	NUP62						SNORD113-3				MIR3661	LRPPRC	TAS2R3	
							FAM167A									LOC284379	HSPBP1						SNORD113-4				STARD4-AS1	PDIA6	TAS2R4	
							SLC35G5									VSTM1	PPP1R15A						SNORD113-5				HNCAT21	ABI2	TAS2R16	
							LINC00208									TMEM150B	PLD3						SNORD113-6				LOC100505841	CEBPZ	FIS1	
							FAM167A-AS1									FAM71E2	FKBP8						SNORD113-7				LOC100505878	DHRS9	MLXIPL	
							CRISPLD1									VN1R2	EML2						SNORD113-8				TMEM161B-AS1	TXNDC9	SBDS	
							TRAPPC9									VN1R4	TMEM59L						SNORD113-9				LUCAT1	MPHOSPH10	CHCHD2	
							TM2D2									NLRP9	PGLS						SNORD114-1				LOC100506526	CALCRL	CPA4	
							TATDN1									MYPOP	ZNF324						SNORD114-2				OCLN	PSMD14	NT5C3A	
							NACAP1									NANOS2	LSM4						SNORD114-3				MIR4804	STAM2	NME8	
							NCALD									ZNF404	KLK5						SNORD114-4				MIR4633	RAMP1	ZNF117	
							POMK									ZNF284	ZNF345						SNORD114-5				MIR4461	SPEG	MRPS17	
							MAF1									C19orf81	PRKD2						SNORD114-6				MIR4459	LANCL1	WNT16	
							UTP23									ZNF677	ZNF473						SNORD114-7				MIR4454	NMUR1	ACTL6B	
							GINS4									RFPL4A	KANK2						SNORD114-8				MIR3977	SMYD5	PRKAG2	
							HOOK3									ZSCAN5B	CLIP3						SNORD114-9				MIR4460	KLHL41	ZNF107	
							PLPP5									ZNF530	FAM32A						SNORD114-10				MIR548AE2	MYCNOS	ZC3HC1	
							MAK16									DNAAF3	LSM14A						SNORD114-11				MIR4803	C1D	SRRT	
							TRIM55									ZNF233	KLK13						SNORD114-12				LINC01023	MERTK	GET4	
							FUT10									LILRA5	CCDC9						SNORD114-13				MIR5687	UBE2E3	UBE2D4	
							PARP10									IGFL1	PRPF31						SNORD114-14				MIR5692C1	STK25	CCZ1	
							C8orf76									C19orf68	IRF2BP1						SNORD114-15				MIR5706	SEMA4F	LUC7L2	
							TIGD5									ZNF773	FGF21						SNORD114-16				LINC00492	CCT7	MRPS33	
							NUDCD1									ZNF582-AS1	GAPDHS						SNORD114-17				P4HA2-AS1	CCT4	STYXL1	
							FAM83A									CEACAM22P	OR7A17						SNORD114-18				NREP-AS1	GNLY	ASB4	
							PPP1R16A									CEACAM16	TSPAN16						SNORD114-19				C5orf66	CDC42EP3	NUB1	
							FAM86B1									BLOC1S3	OR10H3						SNORD114-20				LINCR-0003	STAMBP	MPP6	
							LRRCC1									BHMG1	OR10H2						SNORD114-21				IPO11-LRRC70	TGOLN2	LSM8	
							TSPYL5									IGFL3	OR10H1						SNORD114-22				LOC101927023	MTX2	ADAM22	
							DNAJC5B									ZNF808	OR7C2						SNORD114-23				LOC101927059	CGREF1	COPG2IT1	
							PSKH2									ZNF888	OR7A5						SNORD114-24				LOC101927078	B3GNT2	GSAP	
							FAM110B									ZNF761	OR7C1						SNORD114-25				LOC101927100	USP39	CYCS	
							MED30									TMEM238	SNORA68						SNORD114-26				LOC101927190	TBR1	GPR85	
							ERI1									ZNF470	SNORD41						SNORD114-27				SEMA6A-AS1	SIX2	TAS2R5	
							ZNF251									ZNF749	SNORD35A						SNORD114-28				HRAT56	MAP3K2	STAG3L1	
							KIFC2									ZNF818P	SNORD34						SNORD114-29				LOC101927357	NCKAP1	ANLN	
							TMEM67									ZNF805	SNORD33						SNORD114-30				LOC101927379	VAMP5	ANKIB1	
							LONRF1									ZNF321P	SNORD32A						SNORD114-31				LOC101927421	MTHFD2	MIOS	
							CHMP7									LOC400706	ZNF285						MIR758				LOC101927460	ARID5A	RNF216	
							MTDH									SIGLEC16	AKAP8L						MIR668				LOC101927488	PROKR1	CHPF2	
							CHMP4C									LOC400710	ZBTB32						MIR770				TH2LCRR	RAB10	CPVL	
							PKHD1L1									ZNF880	SIGLEC7						SNORA11B				LOC101927934	EDAR	PUS7	
							NAPRT									ZNF772	LYPD3						MIR300				C5orf66-AS1	COPS8	TOMM7	
							TBC1D31									IGLON5	ARRDC2						MIR541				C5orf67	GPR75	ING3	
							HPYR1									MIRLET7E	BBC3						MIR665				LOC101928505	YWHAQ	DDX56	
							RP1L1									MIR125A	DKKL1						MIR543				LOC101928539	IMMT	TMEM106B	
							TP53INP1									MIR150	CPAMD8						MIR889				LOC101928569	SNRNP27	LRRN3	
							TGS1									MIR99B	SIGLEC9						LOC100128233				LOC101928600	GTF2A1L	CROT	
							MFSD3									TARM1	SIGLEC8						ZBTB42				CTC-436P18.1	STON1	EPDR1	
							MAL2									MIR330	C5AR2						KTN1-AS1				LOC101928651	RAPGEF4	ZNF853	
							XKR4									MIR371A	CHMP2A						LOC100129345				LOC101928769	EMILIN1	ALKBH4	
							CSMD3									MIR372	DHDH						LINC00605				LOC101928794	CAPN10	SAMD9	
							RHPN1									MIR373	ZNF544						LOC100289511				LOC101928858	TBC1D8	NCAPG2	
							FBXO32									IGFL4	EIF3K						MIR1247				LOC101928885	RABL2A	CYP2W1	
							SMIM19									DPRX	UBE2S						MIR1185-1				LOC101928924	GALNT5	DNAAF5	
							SLC26A7									DUXA	SLC6A16						MIR1185-2				LINC01333	NXPH2	CHCHD3	
							PCMTD1									ASPDH	C19orf53						MIR1260A				LOC101929109	GPR45	FKBP14	
							CTHRC1									MIR512-1	BABAM1						MIR1197				LOC101929154	SP140	ZCWPW1	
							OSR2									MIR512-2	LGALS13						OTX2-AS1				CTD-2201I18.1	MGAT4A	TMEM248	
							C8orf34									MIR498	CYP2S1						MIR548H1				LOC101929380	GPN1	WDR60	
							TOP1MT									MIR520E	TFPT						MIR1193				MEF2C-AS1	IKZF2	RBM28	
							CLDN23									MIR515-1	STRN4						MIR4309				LINC01339	COBLL1	ZDHHC4	
							CCDC26									MIR519E	CCDC106						MIR3173				LOC101929710	AAK1	TYW1	
							ZNF572									MIR520F	HOOK2						MIR4308				AK6	FASTKD2	C7orf43	
							GOT1L1									MIR515-2	EPN1						LOC100506321				MIR6830	MAPRE3	TMEM140	
							FAM92A1									MIR519C	SERTAD3						LOC100506476				LOC102467080	PLA2R1	GIMAP4	
							VPS37A									MIR520A	SERTAD1						LOC100506498				LOC102467081	RAB3GAP1	GIMAP5	
							NDUFAF6									MIR526B	GLTSCR2						LOC100506603				LOC102467147	RPIA	TMEM176A	
							TMEM68									MIR519B	GLTSCR1						LOC100506700				LOC102467212	SLC4A1AP	CHST12	
							ABRA									MIR525	TNPO2						TUNAR				LOC102467213	EFR3B	TRPV6	
							LYPD2									MIR523	ADGRE2						MEG9				LOC102467214	SNRNP200	CDCA7L	
							NKX2-6									MIR518F	EHD2						LOC100507277				LOC102467216	MYT1L	PPP1R9A	
							TMEM71									MIR520B	KLK14						LOC100507437				LOC102467217	WDR43	VPS50	
							SGCZ									MIR518B	KLK12						SYNJ2BP-COX16				LOC102467223	LPIN1	URGCP	
							ADHFE1									MIR526A1	COL5A3						CHURC1-FNTB				LOC102467224	CEP68	NSUN5	
							UBXN2B									MIR520C	RDH8						MIR4507				LOC102467225	PASK	RADIL	
							PXDNL									MIR518C	SHANK1						MIR4506				LOC102467226	UBXN4	COA1	
							GPAT4									MIR524	NOSIP						MIR4505				LOC102467655	ATG4B	AGK	
							UNC5D									MIR517A	MRPL4						MIR203B				LOC102477328	PSME4	METTL2B	
							LETM2									MIR519D	NDUFA13						MIR4708				LOC102503427	EXOC6B	KMT2E	
							DCAF4L2									MIR521-2	ZNF580						MIR4709				LINC01335	EHBP1	LANCL2	
							RALYL									MIR520D	HSD17B14						MIR151B				RASGRF2-AS1	SATB2	BAIAP2L1	
							HGSNAT									MIR517B	GP6						MIR4538				LINC01338	CLASP1	SLC25A40	
							DEFB104A									MIR520G	VRK3						MIR4710				LOC102546226	OBSL1	BCAP29	
							LOC157273									MIR516B2	ZNF571						MIR4539				LINC01340	PUM2	KLHL7	
							SGK223									MIR526A2	GMIP						MIR4537				LOC102546228	NCAPH	STK31	
							PEBP4									MIR518E	ECSIT						MIR4706				LOC102546229	RHOQ	MEPCE	
							CDCA2									MIR518A1	WDR83OS						MIR2392				LOC102723557	SF3B1	TRPV5	
							FER1L6-AS2									MIR518D	ISYNA1						DIO2-AS1				LOC102724392	HAAO	ANKRD7	
							TMEM65									MIR516B1	ZNF581						HIF1A-AS1				CTD-2151A2.1	TMEM131	ZC3HAV1	
							LINC00964									MIR518A2	LSR						HIF1A-AS2				ADAMTS19-AS1	R3HDM1	PAPOLB	
							RDH10									MIR517C	ZNF44						MIR5195				LINC01337	DNPEP	C1GALT1	
							BAALC-AS2									MIR520H	TM6SF2						MIR5694				LINC01170	PSD4	FAM20C	
							ANKRD46									MIR521-1	PTOV1						MIR5580				LINC01331	WBP1	SLC12A9	
							ESCO2									MIR522	S1PR5						MIR5586				LINC01336	NTSR2	SDHAF3	
							FBXO16									MIR519A1	FXYD7						LINC00911				LINC01033	TMEFF2	YAE1D1	
							LINC00599									MIR527	FXYD5						LOC100996664				LINC01386	SH3BP4	AKR1B10	
							FAM84B									MIR516A1	RAB4B						LOC101927620				LOC105379030	PRKD3	ANKMY2	
							C8orf37									MIR516A2	DDX49						LOC101927690				LOC105379054	KCNE4	TBX20	
							VPS13B									MIR519A2	PAF1						LOC101927780				LOC105379143	RASGRP3	SMURF1	
							SLC7A13									KLKP1	PPP1R12C						LOC101928075				LOC105379176	NGEF	PHTF2	
							TDH									LOC645553	TRPM4						LOC101928123				LOC105379183	QPCT	ACTR3B	
							TMEM74									FAM90A27P	ZNF586						LOC101928143				LOC105379192	GCA	KIAA1147	
							FAM91A1									SBK2	ZNF562						LOC101928504				LOC105379194	VAX2	RHBDD2	
							C8orf48									SEC1P	QPCTL						LINC01467				LINC01455	SNORD82	STRIP2	
							MCMDC2									SNORD23	GATAD2A						LOC101928767				WSPAR	MOB4	ESYT2	
							CLVS1									SNORD88A	BEST2						LOC101928791				TRPC7-AS2	POLR1A	ZNF398	
							NKX6-3									SNORD88B	FBXL12						LOC101928909					CNRIP1	CCDC146	
							KCNU1									SNORD88C	FAM83E						LOC101929002					FAM98A	KIAA1549	
							SBSPON									MIR642A	PGPEP1						LOC101929080					PNKD	RBAK	
							CNBD1									MIR643	CC2D1A						LOC101929241					UNC50	GATAD1	
							SLC30A8									CCDC61	EPS8L1						SNHG24					SNED1	NFE4	
							COL22A1									CEACAM18	RASIP1						LOC101929634					GORASP2	MYL7	
							SNX31									SHISA7	TMEM161A						LINC00644					SPATS2L	KMT2C	
							TMEM64									RFPL4AL1	SARS2						MIR6765					RAB11FIP5	EXOC4	
							IDO2									LINC01530	TMEM160						MIR7641-2					GIGYF2	RINT1	
							DEFT1P									ZNF814	PIH1D1						MIR7843					EPC2	GALNT11	
							SDR16C5									MIR769	C19orf60						MIR7855					TRAF3IP1	NEUROD6	
							ADCK5									SIGLEC14	GPATCH1						MIR8071-1					ABCA12	FIGNL1	
							TSNARE1									MIMT1	SAMD4B						MIR6764					IFT172	MYO1G	
							R3HCC1									MIR935	ATP5SL						LOC102723354					ARL5A	LRRC4	
							PRSS55									SNAR-G1	C19orf73						LINC01500					HIBCH	NPVF	
							C8orf74									SNAR-F	MAP1S						LOC102723809					PTPN18	HERPUD2	
							HTRA4									SNAR-A1	PNMAL1						LOC102724153					CNNM4	LMBR1	
							ADAM32									SNAR-A12	TMEM143						LOC102724190					CNNM3	WBSCR17	
							ERICH5									ZNF667-AS1	KLHL26						LINC01269					IL36RN	TMEM168	
							LGI3									LOC100128398	ZNF444						SALRNA1					SH3YL1	LINC00244	
							MAPK15									LOC100129083	C19orf66						LINC01629					SNORD53	NOM1	
							DEFB105A									SBK3	ZNF331						LOC105370586					SNORD51	MOSPD3	
							DEFB106A									BSPH1	ZNF823						LOC105370605					RNU6-1	GIGYF1	
							DEFB107A									KIR2DS2	KLK15						LOC105370619					CNPPD1	CCDC136	
							DEFB109P1									PEG3-AS1	MED29						LOC105370622					STK36	TNS3	
							DEFB130									SNAR-A3	TRMT1						LINC00677					IL36B	PARP12	
							ATP6V0D2									SNAR-A5	NLRP2						LOC105370697					IL37	CREB3L2	
							NEIL2									SNAR-A7	ZNF416						LOC105378183					IL36A	IFT22	
							YTHDF3									SNAR-A11	ZNF446						LOC107984640					SULT1C4	CYP3A43	
							C8orf46									SNAR-A4	ASF1B											NFU1	CASD1	
							LOC254896									SNAR-A6	ZNF701											ERLEC1	STAG3L4	
							ADAM5									SNAR-A8	ZNF83											MMADHC	MRPS24	
							FAM86B3P									SNAR-A10	ZNF415											BMP10	MRPL32	
							XKR6									SNAR-C2	USE1											ZNF638	LRRC61	
							NSMCE2									SNAR-C4	PSENEN											STK39	C7orf49	
							LOC286059									SNAR-E	ZNF302											HTRA2	GGCT	
							ZNF707									SNAR-B1	ANGPTL8											EML4	C7orf25	
							BREA2									SNAR-C1	LIN37											TRIB2	ZNF655	
							FAM83H									SNAR-C3	SMG9											CPS1-IT1	C7orf26	
							LINC01591									SNAR-D	ZNF253											METTL5	PVRIG	
							MICU3									SNAR-G2	IRGC											LGALSL	TMEM243	
							ZNF252P									SNAR-A14	SLC7A10											OLA1	GCC1	
							TMED10P1									ERVV-2	PPAN											C2orf27A	STEAP4	
							ZNF252P-AS1									EML2-AS1	CABP5											GRHL1	GAL3ST4	
							LOC286114									ZNF587B	SPHK2											TFCP2L1	PRKRIP1	
							C8orf31									MIR1283-2	LGALS14											ICOS	MICALL2	
							ZFP41									MIR1323	EXOSC5											GMPPA	SUGCT	
							SCARA5									MIR1283-1	MEIS3											NRBP1	CFAP69	
							FAM183CP									LOC100379224	CEACAM19											BAZ2B	CBLL1	
							RNF5P1									MIR3191	SLC17A7											SLC40A1	ZNF767P	
							TRIQK									MIR3190	NAT14											KCNIP3	CPED1	
							DPY19L4									MIR320E	CD177											EHD3	TTC26	
							FBXO43									MIR4324	ATP13A1											SMARCAL1	FBXL18	
							LOC286177									MIR642B	RGL3											CD207	C7orf69	
							LOC286178									NAPA-AS1	SLC44A2											ITSN2	ORAI2	
							NKAIN3									LOC100505715	VN1R1											ANO7	TTYH3	
							LINC01289									CARD8-AS1	RCN3											ARHGEF4	UPK3B	
							LINC01299									PPP5D1	ZNF304											PDE11A	EEPD1	
							PPP1R42									PTOV1-AS1	TTYH1											TPRKB	KDM7A	
							C8orf34-AS1									DACT3-AS1	PNMAL2											FAHD2A	OR2AE1	
							LACTB2-AS1									GFY	ZNF490											PRLH	VOPP1	
							GPIHBP1									ZNF865	PRR12											WDPCP	RCC1L	
							LOC340357									ZNF816-ZNF321P	DOCK6											MEMO1	TSC22D4	
							KLHL38									APOC4-APOC2	ZNF471											THAP4	TRIM56	
							NRBP2									MIR4752	ZNF492											TRAPPC12	ABHD11	
							ZNF517									MIR371B	TSHZ3											ASB3	TMUB1	
							WDR97									MIR4749	LRFN1											INSIG2	CCM2	
							TMEM249									MIR4750	GRAMD1A											CRIM1	ZMIZ2	
							RSPO2									MIR4531	USP29											ANKRD39	CALN1	
							POTEA									MIR4751	PLEKHA4											FAM178B	ARMC10	
							SLC10A5									MIR5088	ZFP14											RNF181	TMEM120A	
							LINC00965									NUCB1-AS1	ZNF529											MRPL30	STARD3NL	
							SPATC1									LOC101059948	PRX											DNAJC27	IMMP2L	
							USP17L2									ZNF350-AS1	ANO8											ANKMY1	CTTNBP2	
							CA13									LOC101928063	SPTBN4											KRCC1	RBM48	
							FAM90A25P									LOC101928295	MARK4											MRPL35	ZNF394	
							LOC389641									PTOV1-AS2	SUGP1											ATRAID	USP42	
							NUGGC									LOC101928517	HAMP											PCYOX1	GTF2IRD2	
							C8orf86									ZNF649-AS1	CATSPERG											GULP1	MYH16	
							FAM150A									LOC101928804	CYP4F11											REV1	FAM188B	
							XKR9									LOC101928886	ZNF71											NAT8B	SLC37A3	
							C8orf87									ZIM2-AS1	SCAF1											SCLY	PSMG3	
							RBM12B									SPACA6P-AS	PRODH2											VPS54	DNAJC30	
							MROH5									MIR6088	EPS15L1											NBAS	C7orf50	
							MAFA									MIR6799	WIZ											LIPT1	CARD11	
							USP17L8									MIR6800	CACNG8											NOP58	KRBA1	
							LOC392196									MIR6802	CACNG7											DYNC2LI1	TNRC18	
							USP17L7									MIR6804	CACNG6											SF3B6	FAM126A	
							LOC392232									MIR6805	UBL5											YPEL5	FAM71F1	
							GDF6									MIR6806	ZNF350											CHMP3	PLEKHA8	
							USP17L1									MIR8074	TSKS											FKBP7	FAM220A	
							LOC401463									MIR8085	ZNF667											ASB1	POLR2J4	
							C8orf59									MIR8061	DMRTC2											CPSF3	LINC00525	
							SAMD12									MIR6798	C19orf33											CAB39	SLC35B4	
							MIR124-1									MIR6803	ELSPBP1											ZAK	TMEM209	
							MIR124-2									MIR7975	LIN7B											BCL11A	TMEM60	
							MIR30B									MIR6801	HIF3A											LRP1B	SCIN	
							MIR30D									ZNF528-AS1	CHST8											PRKAG3	GTPBP10	
							MIR320A									LENG8-AS1	PLPPR2											PPIL3	TRIM4	
							DEFB103A									LOC105372419	ZNF574											SNTG2	OR6W1P	
							C8orf82									LOC105372440	PLEKHG2											DNAJC10	ZFAND2A	
							FER1L6-AS1									LOC105372441	RASAL3											ATAD2B	COX19	
							FAM90A7P									LOC105372444	MRPL34											ETAA1	CCDC126	
							FAM90A10P									LOC105372476	KRI1											HEATR5B	ZNF479	
							MIR2052HG									LOC105447645	ZSWIM4											CCDC93	ADCK2	
							FLJ46284									PLA2G4C-AS1	ZNF649											ASNSD1	PLXNA4	
							FLJ42969									GLTSCR2-AS1	ZSCAN18											UGT1A10	ZC3HAV1L	
							AARD										CENPBD1P1											UGT1A8	MYL10	
							LRRC24										CYP4F12											UGT1A7	MGAM2	
							SDR16C6P										YIPF2											UGT1A6	ST7-AS1	
							MIR151A										C19orf43											UGT1A5	ST7-AS2	
							DEFA10P										DDA1											UGT1A9	ST7-OT3	
							C8orf22										KXD1											UGT1A4	CADPS2	
							MIR383										TMEM38A											UGT1A1	CPA5	
							LINC00293										TSEN34											UGT1A3	FOXP2	
							C8orf58										KCTD15											FEV	H2AFV	
							NCRNA00250										SMIM7											AFTPH	CEP41	
							LINC00251										ZNF426											MFSD6	GLCCI1	
							SAMD12-AS1										TRAPPC6A											TMEM214	ZBED6CL	
							ZFAT-AS1										MBOAT7											RETSAT	DTX2	
							HAS2-AS1										FKRP											INO80D	WBSCR22	
							C8orf49										ZSCAN5A											SEMA4C	PSMG3-AS1	
							DEFB135										PLEKHF1											SLC35F6	TSGA13	
							DEFB136										LENG1											C2orf42	GPR146	
							DEFB134										LILRP2											TRMT61B	MALSU1	
							ZNF704										LILRA6											PID1	AGAP3	
							LINC01298										RBM42											PTCD3	C7orf13	
							LINC00589										C19orf57											PLEKHB2	OR9A4	
							MBOAT4										ZNF576											ATG16L1	WBSCR28	
							LINC00051										LRFN3											FANCL	TRIM50	
							MIR486-1										ABHD8											SRBD1	OR9A2	
							TMEM75										OCEL1											FIGN	C7orf34	
							DEFB109P1B										ZNF329											ANKZF1	TMEM139	
							SNHG6										COLGALT1											RIF1	NOBOX	
							SNORD87										IGFLR1											USP40	OR2A14	
							MROH6										TBC1D17											MOB1A	OR6B1	
							SCX										ZNF419											STEAP3	OR2F2	
							LINC00535										GEMIN7											ASXL2	ZNF786	
							UG0898H09										ISOC2											ADI1	COL26A1	
							RAD21-AS1										MYH14											THNSL2	PRSS37	
							USP17L4										ZNF665											ACOXL	KLF14	
							USP17L3										ZNF552											WDR33	SSMEM1	
							FABP9										EPHX3											HJURP	C7orf57	
							FABP12										PODNL1											STRADB	SVOPL	
							LOC649352										ZNF671											NDUFAF7	LRGUK	
							FAM86B2										ZNF613											HES6	ASB10	
							SPAG11A										COQ8B											ASIC4	PRSS58	
							FER1L6										CNTD2											CNOT11	MPLKIP	
							SNORD13										SLC35E1											NAGK	SSC4D	
							MIR548A3										ZNF442											DOCK10	C7orf31	
							MIR548D1										ZNF702P											TTC27	ASZ1	
							MIR597										CEBPA-AS1											SMPD4	MUC17	
							MIR598										ZNF606											TMEM127	RNF32	
							MIR599										ZNF614											PRPF40A	ASB15	
							MIR661										FUZ											SLC30A6	RUNDC3B	
							DEFA11P										OPA3											IWS1	ABCA13	
							CASC8										ZNF430											LIMS2	BMT2	
							MROH1										ITPKC											KANSL3	LOC154761	
							LOC728024										PBX4											MREG	CLEC2L	
							DEFA1B										KIAA1683											CCDC88A	FMC1	
							LINC00977										B9D2											WDR12	VKORC1L1	
							ZNF705D										RSPH6A											MBD5	LINC00689	
							OC90										CCDC130											KDM3A	FEZF1-AS1	
							FAM90A2P										ZNF611											ALLC	IQUB	
							LOC729732										MED25											PECR	C7orf77	
							LINC01300										QTRT1											ARHGAP15	KCTD7	
							MIR875										ZNF93											ZC3H15	C7orf66	
							MIR937										PLVAP											CFC1	TMEM213	
							MIR939										RTBDN											DNAH7	GIMAP8	
							C8orf88										BCL2L12											GKN1	CRYGN	
							STAU2-AS1										C19orf12											IL36G	ZNF425	
							FAM83H-AS1										TEX101											RPRM	LOC155060	
							CDC42P3										GRWD1											CYP26B1	ZNF746	
							RBPMS-AS1										ANGPTL6											POLE4	ATP6V0E2	
							FAM66B										USHBP1											KCNK12	AMZ1	
							LOC100128993										WDR87											UGGT1	WBSCR27	
							TCF24										TSSK6											KCMF1	SBDSP1	
							MIR124-2HG										CCDC8											DPYSL5	VPS37D	
							LINC00861										KIRREL2											PNO1	NSUN5P1	
							CCDC166										ANKRD27											STARD7	RBM33	
							LOC100130298										C19orf44											C2orf83	AGR3	
							C8orf89										ZNF541											MFF	MGC27345	
							LRRC69										MRI1											RPL23AP32	ZNF92	
							LOC100130964										SYT3											ACKR3	GALNTL5	
							PRR23D1										FBXW9											RNPEPL1	ZNF679	
							FAM83A-AS1										WDR83											RTN4	RNF133	
							ZNF705G										PDCD2L											TRIM54	CDC14C	
							FAM66E										AKT1S1											PELI1	THAP5	
							ZNF705B										ELOF1											SLC39A10	CCDC71L	
							LOC100132813										ZNF528											TTC7A	PKD1L1	
							MSC-AS1										BRSK1											PPP4R3B	GIMAP7	
							FAM66D										ZNF333											SLC4A10	ZNF467	
							FAM66A										ZNF527											CYP20A1	BHLHA15	
							SBF1P1										CNFN											SPC25	BMPER	
							PRR23D2										SNORD35B											BIRC6	PER4	
							LOC100133669										ADGRE3											ERMN	ZNF800	
							ZFHX4-AS1										ZNF347											KIDINS220	GIMAP1	
							CASC11										GTPBP3											MTA3	ABHD11-AS1	
							TONSL-AS1										ZNF577											HECW2	PAXIP1-AS1	
							LOC100287846										MPV17L2											WDR35	C7orf33	
							LOC100288181										ZNF607											MARCH4	TMEM184A	
							REXO1L2P										KMT5C											WDFY1	TRY2P	
							LOC100288748										C19orf48											NYAP2	SAMD9L	
							DEFB4B										NFKBID											DPP10	C7orf62	
							MIR1302-7										ZBTB45											RDH14	ZNF804B	
							MIR1205										CEP89											EPB41L5	FABP5P3	
							MIR1273A										ZNF382											ALS2	ZSCAN25	
							MIR1322										ZNF587											ZDBF2	FAM200A	
							MIR1206										FIZ1											USP37	VWDE	
							MIR1207										ZNF566											CWC22	PRPS1L1	
							MIR1204										HSH2D											ANKRD36B	TWISTNB	
							MIR548I3										ALKBH6											G6PC2	SP8	
							MIR1234										ATG4D											SLC4A5	HOXA11-AS	
