cytoband	2q37.3	19q13.42	11p15.5	4q34.3	10q26.3	9p21.3	9p24.3	3q29	5q34	3p21.1	12p13.1	13q34	3p21.31	14q23.2	1q44	17q25.3	19q13.31	18q23	5p15.33	6q22.33	2p25.3	9p23	3q13.31	11q25	12q12	1p36.32	13q13.1	6q27	13q14.3	22q13.31	3p12.3	13q31.1	14q31.3	4q13.3	7p22.2	11p11.2	6q25.3	12q24.11	6p25.3	
																																	ACOT6					LINC01498		
																																	LOC646548					LOC102724663		
																																	SYNDIG1L					LOC102724933		
																																	RD3L					LHX5-AS1		
																																	TEX22					LOC105369879		
																																	MIR539					LOC105369891		
																																	MIR544A					LOC105369893		
																																	MIR376A2					LOC105369911		
																																	MIR487B					LOC105369920		
																																	SCARNA13					LOC105369921		
																																	SNORA28					LOC105369945		
																																	SNORA79					KCCAT198		
																																	SNORD112					LOC105369980		
																																	MIR411					LOC105370014		
																																	MIR654					LOC105370016		
																																	MIR655					LOC105370024		
																																	MIR656					XLOC_009911		
																																	LOC730202							
																																	LINC01220							
																																	SNORD113-1							
																																	SNORD113-2							
																																	SNORD113-3							
																																	SNORD113-4							
																																	SNORD113-5							
																																	SNORD113-6							
																																	SNORD113-7							
																																	SNORD113-8							
																																	SNORD113-9							
																																	SNORD114-1							
																																	SNORD114-2							
																																	SNORD114-3							
																																	SNORD114-4							
																																	SNORD114-5							
																																	SNORD114-6							
																																	SNORD114-7							
																																	SNORD114-8							
																																	SNORD114-9							
																																	SNORD114-10							
																																	SNORD114-11							
																																	SNORD114-12							
																																	SNORD114-13							
																																	SNORD114-14							
																																	SNORD114-15							
																																	SNORD114-16							
																																	SNORD114-17							
																																	SNORD114-18							
																																	SNORD114-19							
																																	SNORD114-20							
																																	SNORD114-21							
																																	SNORD114-22							
																																	SNORD114-23							
																																	SNORD114-24							
																																	SNORD114-25							
																																	SNORD114-26							
																																	SNORD114-27							
																																	SNORD114-28							
																																	SNORD114-29							
																																	SNORD114-30							
																																	SNORD114-31							
																																	MIR758							
																																	MIR668							
																																	MIR770							
																																	SNORA11B							
																																	MIR300							
																																	MIR541							
																																	MIR665							
																																	MIR543							
																																	MIR889							
																																	ZBTB42							
																																	LOC100129345							
																																	LINC00605							
																																	LOC100289511							
																																	MIR1247							
																																	MIR1185-1							
																																	MIR1185-2							
																																	MIR1260A							
																																	MIR1197							
																																	MIR1193							
																																	MIR4309							
																																	MIR3173							
																																	LOC100506476							
																																	LOC100506498							
																																	LOC100506603							
																																	LOC100506700							
																																	TUNAR							
																																	MEG9							
																																	LOC100507277							
																																	LOC100507437							
																																	SYNJ2BP-COX16							
																																	MIR4507							
																																	MIR4506							
																																	MIR4505							
																																	MIR203B							
																																	MIR4709							
																																	MIR151B							
																																	MIR4538							
																																	MIR4710							
																																	MIR4539							
																																	MIR4537							
																																	MIR2392							
																																	DIO2-AS1							
																																	MIR5195							
																																	LINC00911							
																																	LOC101928075							
																																	LOC101928123							
																																	LOC101928143							
																																	LOC101928504							
																																	LINC01467							
																																	LOC101928767							
																																	LOC101928791							
																																	LOC101928909							
																																	LOC101929002							
																																	LOC101929080							
																																	LOC101929241							
																																	SNHG24							
																																	LOC101929634							
																																	MIR6765							
																																	MIR7641-2							
																																	MIR7843							
																																	MIR8071-1							
																																	MIR6764							
																																	LOC102723354							
																																	LOC102724153							
																																	LOC102724190							
																																	LINC01269							
																																	LINC01629							
																																	LOC105370586							
																																	LOC105370605							
																																	LOC105370619							
																																	LOC105370622							
																																	LINC00677							
																																	LOC105370697							
																																	LOC105378183							
																																	LOC107984640							
